id,rdf:type ,dct:rights/cc:attributionName,dct:rights/karstlink:licenceType,dct:rights/dct:created,dct:rights/dct:modified,dct:rights/cc:attributionURL,karstlink:documentType,rdfs:label,dct:subject,dc:langage,gn:countryCode,dct:date,dct:format,dct:identifier,dct:source,dct:creator,dct:publisher,dct:isPartOf,dct:references,karstlink:relatedToUndergoundCavity,karstlink:hasDescriptionDocument/dct:creator,karstlink:hasDescriptionDocument/dc:language,karstlink:hasDescriptionDocument/dct:title,karstlink:hasDescriptionDocument/dct:description
52,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Sous Terre - 5e campagne (1892),,FR,FR,1893,,,https://gallica.bnf.fr/ark:/12148/bpt6k4539044/f399,Édouard-Alfred Martel,"Bulletin de la Société scientifique, historique et archéologique de la Corrèze",,,,,,,
53,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,La Spélæologie,,FR,FR,1893,,,https://gallica.bnf.fr/ark:/12148/bpt6k201179s/f891,Édouard-Alfred Martel,"Compte rendu de la 22e session - Besançon 1893 - 2de partie, Association française pour l'avancement des sciences, Paris",,,,,,,
54,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Sur la cloche gypseuse de Taverny,,FR,FR,1893,,,https://www.biodiversitylibrary.org/page/34149974,G. Ramond|Édouard-Alfred Martel,"Feuille des jeunes naturalistes, Paris",,,,,,,
55,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Sur la caverne du Boundoulaou (Aveyron),,FR,FR,1893,,,https://gallica.bnf.fr/ark:/12148/bpt6k30724/f1471,E. Rivière|Édouard-Alfred Martel,"Comptes rendus hebdomadaires des séances de l'Académie des sciences, Paris",,,,,,,
56,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Sur la température des cavernes,,FR,FR,1894,,,http://gallica.bnf.fr/ark:/12148/bpt6k3074r/f615,Édouard-Alfred Martel,"Comptes rendus hebdomadaires des séances de l'Académie des sciences, Paris",,,,,,,
57,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,"Sous terre (septième campagne, 1894), et traversée du col de la Casse-Déserte",,FR,FR,1895,,,https://gallica.bnf.fr/ark:/12148/bpt6k9610148q/f190,Édouard-Alfred Martel,"Annuaire du Club Alpin Français, Paris",,,,,,,
58,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,"Sous Terre (8e campagne) Marble Arch, Irlande et Gaping Ghyll, Angleterre",,FR,FR,1895,,,https://archive.org/stream/AnnuaireClubAlpinFrancais1895/Annuairecaf95#page/n191,Édouard-Alfred Martel,"Annuaire du Club Alpin Français, Paris",,,,,,,
59,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Le gouffre de Lantouy (Lot),,FR,FR,1895,,,https://gallica.bnf.fr/ark:/12148/bpt6k453906w/f277,Édouard-Alfred Martel,"Bulletin de la Société scientifique, historique et archéologique de la Corrèze",,,,,,,
60,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Le refuge de Roc de Gorp (ou d'Aucor) sous l'oppidum de Murcens (Lot),,FR,FR,1895,,,https://gallica.bnf.fr/ark:/12148/bpt6k453906w/f413,Édouard-Alfred Martel,"Bulletin de la Société scientifique, historique et archéologique de la Corrèze",,,,,,,
61,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Les Cavernes du Karst,,FR,FR,1895,,,https://gallica.bnf.fr/ark:/12148/bpt6k3048575m/f25.image,Édouard-Alfred Martel,"Comptes rendus des séances de la Société de géographie et de la commission centrale, Paris",,,,,,,
62,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Sur de nouvelles observations dans le gouffre de Padirac (Lot),,FR,FR,1895,,,https://gallica.bnf.fr/ark:/12148/bpt6k3077p/f576,Édouard-Alfred Martel,"Comptes rendus hebdomadaires des séances de l'Académie des sciences, Paris",,,,,,,
63,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,L'abime de Kluc (Istrie). Sa température,,FR,FR,1895,,,https://gallica.bnf.fr/ark:/12148/bpt6k145603h/f44.image,Édouard-Alfred Martel,"Spelunca, Bulletin de la Société de spéléologie, Paris",,,,,,,
64,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Un naufrage à 100 mètres sous terre - Troisième exploration de Padirac,,FR,FR,1896,,,https://gallica.bnf.fr/ark:/12148/bpt6k453906w/f664,Martel E. A. & Rupin E.,"Bulletin de la Société scientifique, historique et archéologique de la Corrèze",,,,,,,
65,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Applications géologiques de la spéléologie,,FR,FR,1896,,,https://gallica.bnf.fr/ark:/12148/bpt6k3045021d,Édouard-Alfred Martel," origine et rôle des cavernes, leurs variations climatériques, leurs rapports avec les filons",,,,,,,
66,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Explorations souterraines,,FR,FR,1896,,,https://archive.org/details/bulletindelasoci3241896soci/page/n96,Édouard-Alfred Martel,"Bulletin de la Société Géologique de France, Paris",,,,,,,
67,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Quatrième et cinquième explorations de Padirac (28 mars-1er avril et 14-17 août 1896),,FR,FR,1896,,,https://gallica.bnf.fr/ark:/12148/bpt6k4539078/f483,Édouard-Alfred Martel,"Bulletin de la Société scientifique, historique et archéologique de la Corrèze",,,,,,,
68,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Sur le gouffre de Gaping-Ghyll (Angleterre),,FR,FR,1896,,,http://gallica.bnf.fr/ark:/12148/bpt6k30780.image.f53,Édouard-Alfred Martel,"Comptes rendus hebdomadaires des séances de l'Académie des sciences, Paris",,,,,,,
69,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Sur quelques anomalies de la température des sources,,FR,FR,1896,,,http://gallica.bnf.fr/ark:/12148/bpt6k30780.image.f99,Édouard-Alfred Martel,"Comptes rendus hebdomadaires des séances de l'Académie des sciences, Paris",,,,,,,
70,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,"Sur des observations d'hiver dans les cavernes des Causses (Padirac, etc.)",,FR,FR,1896,,,http://gallica.bnf.fr/ark:/12148/bpt6k30780.image.f905,Édouard-Alfred Martel,"Comptes rendus hebdomadaires des séances de l'Académie des sciences, Paris",,,,,,,
71,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Sur les siphons des sources et des rivières souterraines,,FR,FR,1896,,,http://gallica.bnf.fr/ark:/12148/bpt6k30780.image.f1149,Édouard-Alfred Martel,"Comptes rendus hebdomadaires des séances de l'Académie des sciences, Paris",,,,,,,
72,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Sur la Foiba de Pisino (Istrie),,FR,FR,1896,,,https://gallica.bnf.fr/ark:/12148/bpt6k30799/f1333,Édouard-Alfred Martel,"Comptes rendus hebdomadaires des séances de l'Académie des sciences, Paris",,,,,,,
73,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Mitchelstown cave,,FR,FR,1896,,,https://www.biodiversitylibrary.org/item/29641#page/120,Édouard-Alfred Martel,Irish naturalist,,,,,,,
74,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,M. E.-A. Martel en Irlande et en Angleterre,,FR,FR,1896,,,https://gallica.bnf.fr/ark:/12148/bpt6k5594447q/f233,Édouard-Alfred Martel,Revue de géographie,,,,,,,
75,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,"Quatrième exploration de la rivière souterraine de Padirac (Lot), 28 Mars-1er Avril 1896",,FR,FR,1896,,,https://gallica.bnf.fr/ark:/12148/bpt6k5594447q/f412,Édouard-Alfred Martel,Revue de géographie,,,,,,,
76,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,La Grotta Plutone (abime du cimetiêre de Basovizza),,FR,FR,1896,,,https://gallica.bnf.fr/ark:/12148/bpt6k145604w/f110.image,Édouard-Alfred Martel,"Spelunca, Bulletin de la Société de spéléologie, Paris",,,,,,,
77,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Sur les scialets et l'hydrologie souterraine du Vercors (Drôme),,FR,FR,1896,,,https://gallica.bnf.fr/ark:/12148/bpt6k30799/f847,André Delebecque|Édouard-Alfred Martel,"Comptes rendus hebdomadaires des séances de l'Académie des sciences, Paris",,,,,,,
78,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,"Sous Terre (neuvième campagne, 1896): Cueva del Drach, a Majorque, Scialets du Vercors, Chouruns du Dévoluy",,FR,FR,1897,,,https://gallica.bnf.fr/ark:/12148/bpt6k9648183g/f392,Édouard-Alfred Martel,"Annuaire du Club Alpin Français, Paris",,,,,,,
79,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,En Auvergne sur la route des Causses,,FR,FR,1897,,,http://92.243.27.173/gsdl/collect/viremm/index/assoc/CAO-T-30.dir/CAO-T-3021_Auvergne.pdf,Édouard-Alfred Martel,Bulletin illustré du Club Cévenol,,,,,,,
80,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Sur l'hydrographie souterraine et les chouruns du Dévoluy (Hautes-Alpes),,FR,FR,1897,,,http://gallica.bnf.fr/ark:/12148/bpt6k3080s.image.f1170,Édouard-Alfred Martel,"Comptes rendus hebdomadaires des séances de l'Académie des sciences, Paris",,,,,,,
