id,rdf:type ,dct:rights/cc:attributionName,dct:rights/karstlink:licenceType,dct:rights/dct:created,dct:rights/dct:modified,dct:rights/cc:attributionURL,karstlink:documentType,rdfs:label,dct:subject,dc:langage,gn:countryCode,dct:date,dct:format,dct:identifier,dct:source,dct:creator,dct:publisher,dct:isPartOf,dct:references,karstlink:relatedToUndergoundCavity,karstlink:hasAccessDocument/dct:creator,karstlink:hasAccessDocument/dc:language,karstlink:hasAccessDocument/dct:title,karstlink:hasAccessDocument/dct:description,
110457,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Abhandlungen zur Karst- und Höhlenkunde / hrsg. vom Verband der deutschen Höhlen- und Karstforscher e.V. München,,,DE,,,,,,Verband der deutschen Höhlen- und Karstforscher,,,,SSS Société Suisse de Spéléologie,FR,,"Irrégulier.ΩHeft 1 (1966) ->ΩSous-titre Reihe A : Speläologie, Heft 1 à Heft 21.ΩDès Heft 22, une seule série, le sous-titre disparaît au profit d'une note : (ehemals: Abhandlungen zur Karst und Höhlenkunde, Reihen A-F)",
110744,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,ABS : Acta biologica Slovenica = Bioloski vestnik : Glasilo slovenskih biologov,,,,,,,,,Drustvo Biologov slovenije,,,,SSS Société Suisse de Spéléologie,FR,,"Semestriel, puis trimestriel, puis semestriel.Ω19 (1971) ->",
110654,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Abseiling,,,,,,,,,Groupe de Recherches spéléo Internationales,,,,SSS Société Suisse de Spéléologie,FR,,Irrégulier.Ω1 [1992] - 2 [1993].,
110558,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Academia de ciencias de Cuba. Serie actividades,,,CU,,,,,,Academia de ciencias,,,,SSS Société Suisse de Spéléologie,FR,,Irrégulier.ΩNo 25 (1973).,
110554,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Academia de ciencias de Cuba. Serie espeleologica y carsologica,,,CU,,,,,,Academia de ciencias,,,,SSS Société Suisse de Spéléologie,FR,,Irrégulier.ΩNo 1 (1967) - no 52 (1974). Incomplet.,
110556,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Academia de ciencias de Cuba. Serie geologica.,,,CU,,,,,,Academia de ciencias,,,,SSS Société Suisse de Spéléologie,FR,,Irrégulier.ΩNo 3 (1967) - no 27 (1976). Incomplet.,
111402,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Academia de ciencias de Cuba. Serie Isla de Pinos,,,CU,,,,,,Academia de ciencias,,,,SSS Société Suisse de Spéléologie,FR,,"Irrégulier.ΩN° 4 (1967), 25 (1968).",
110557,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Academia de ciencias de Cuba. Serie oriente.,,,CU,,,,,,Academia de ciencias,,,,SSS Société Suisse de Spéléologie,FR,,"Irrégulier.ΩNo 9 (1972) - no 10 (1972),  no 12 (1973).",
111401,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Academia de ciencias de Cuba. Serie Pinar del Rio,,,CU,,,,,,Academia de ciencias,,,,SSS Société Suisse de Spéléologie,FR,,"Irrégulier.ΩN° 13 (1968), N° 16 (1968) et N° 21 (1968).",
111204,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Accademia e speleotime / Free Time Club,,,IT,,,,,,Free Time Club,,,,SSS Société Suisse de Spéléologie,FR,,"Devient Speleotime (I 127)ΩPhotocopies.ΩAnno I, N. 1 (1981)-Anno I, N. 2-3 (1981).",
